------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|      23  |      0  |      1.4209  |     0.7041  |   0.6872  |               |              0.5063  |
|          |      1  |      1.2939  |     0.7764  |   0.7545  |               |              0.9199  |
|          |      2  |      1.2070  |     0.8525  |   0.7373  |               |              1.3347  |
|          |      3  |      1.1504  |     0.8584  |   0.8160  |               |              1.7159  |
|          |      4  |      1.1387  |     0.8721  |   0.8469  |               |              2.0982  |
|          |      5  |      1.0879  |     0.9014  |   0.8084  |               |              2.4778  |
|          |      6  |      1.0420  |     0.9287  |   0.8885  |               |              2.8591  |
|          |      7  |      1.0303  |     0.9346  |   0.9059  |               |              3.2405  |
|          |      8  |      0.9790  |     0.9600  |   0.9203  |               |              3.6202  |
|          |      9  |      0.9463  |     0.9746  |   0.9297  |               |              3.9714  |
|          |   eval  |      0.9463  |     0.9746  |   0.9297  |       0.9373  |              4.1406  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4355  |     0.6934  |   0.6772  |               |              0.5056  |
|          |      1  |      1.3105  |     0.7715  |   0.7563  |               |              0.9190  |
|          |      2  |      1.2080  |     0.8389  |   0.7968  |               |              1.3351  |
|          |      3  |      1.1406  |     0.8721  |   0.8173  |               |              1.7162  |
|          |      4  |      1.1211  |     0.8848  |   0.8723  |               |              2.0988  |
|          |      5  |      1.1016  |     0.8877  |   0.8606  |               |              2.4784  |
|          |      6  |      1.0645  |     0.9141  |   0.8910  |               |              2.8600  |
|          |      7  |      1.0371  |     0.9287  |   0.8996  |               |              3.2413  |
|          |      8  |      0.9741  |     0.9658  |   0.9229  |               |              3.6203  |
|          |      9  |      0.9414  |     0.9834  |   0.9314  |               |              3.9730  |
|          |   eval  |      0.9414  |     0.9834  |   0.9314  |       0.9396  |              4.1417  |
------------------------------------------------------------------------------------------------------
Mean: 0.9404    Std: 0.0014
/workspace/ese-3060-finalproject/logs/b2ed7243-3a0c-4847-bdc0-c589969e8dc5/log.pt
